date,open,high,low,close,change
2016-03-22,2832.6,2846.0,2824.5,2845.0,0.07
2016-03-23,2827.4,2845.0,2823.5,2845.0,0.0
2016-03-24,2824.1,2845.0,2821.2,2845.0,0.0
2016-03-25,2820.3,2855.0,2820.0,2855.0,0.35
2016-03-28,2822.4,2846.0,2820.7,2845.0,-0.35
2016-03-29,2812.4,2846.0,2811.3,2840.0,-0.18
2016-03-30,2813.9,2846.0,2809.3,2809.3,-1.08
2016-03-31,2818.4,2851.0,2818.4,2851.0,1.48
2016-04-01,2819.2,2861.0,2819.2,2860.0,0.32
2016-04-04,2844.8,2861.0,2841.4,2861.0,0.03
2016-04-05,2835.3,2861.0,2835.3,2860.0,-0.03
2016-04-06,2833.8,2865.0,2827.5,2827.5,-1.14
2016-04-07,2829.2,2861.0,2829.2,2834.7,0.25
2016-04-08,2852.4,2872.0,2852.4,2872.0,1.32
2016-04-11,2842.6,2875.0,2841.1,2870.0,-0.07
2016-04-12,2849.2,2861.0,2849.2,2860.0,-0.35
2016-04-13,2858.8,2858.8,2856.0,2856.0,-0.14
2016-04-14,2864.6,2879.0,2857.0,2877.0,0.74
2016-04-15,2860.1,2880.0,2856.8,2880.0,0.1
2016-04-18,2854.3,2878.0,2853.3,2875.0,-0.17
2016-04-19,2858.0,2879.0,2854.5,2875.0,0.0
2016-04-20,2847.7,2878.0,2847.7,2878.0,0.1
2016-04-21,2868.7,2878.0,2856.2,2861.1,-0.59
2016-04-22,2857.1,2878.0,2857.1,2870.0,0.31
2016-04-25,2868.4,2878.0,2855.2,2875.0,0.17
2016-04-26,2853.0,2883.0,2853.0,2883.0,0.28
2016-04-27,2858.4,2881.0,2858.4,2864.8,-0.63
2016-04-28,2869.3,2889.0,2869.3,2880.0,0.53
2016-04-29,2866.4,2889.0,2866.4,2888.0,0.28
2016-05-02,2851.5,2867.7,2851.5,2867.7,-0.7
2016-05-03,2855.6,2885.3,2855.6,2885.3,0.61
2016-05-04,2862.2,2883.0,2862.2,2883.0,-0.08
2016-05-05,2863.9,2885.0,2862.1,2867.1,-0.55
2016-05-06,2868.6,2883.0,2866.8,2883.0,0.55
2016-05-09,2877.2,2885.0,2867.3,2885.0,0.07
2016-05-10,2868.0,2890.0,2865.8,2890.0,0.17
2016-05-11,2864.5,2900.0,2864.5,2900.0,0.35
2016-05-12,2858.0,2905.0,2858.0,2900.0,0.0
2016-05-13,2868.6,2905.0,2861.0,2905.0,0.17
2016-05-16,2869.3,2869.3,2859.0,2861.1,-1.51
2016-05-17,2861.2,2905.0,2861.2,2865.0,0.14
2016-05-18,2863.0,2905.0,2856.5,2900.0,1.22
2016-05-19,2871.8,2904.0,2855.4,2904.0,0.14
2016-05-20,2856.2,2904.0,2854.0,2900.0,-0.14
2016-05-23,2851.7,2909.0,2850.8,2909.0,0.31
2016-05-24,2849.0,2915.0,2849.0,2915.0,0.21
